date,a,b,c,d,e,mb
10-22-13,2,3,19,52,71,14
10-25-13,6,16,45,54,60,15
10-29-13,20,33,50,53,54,7
11-1-13,32,35,49,62,67,1
11-5-13,2,11,42,64,74,2
11-8-13,41,42,51,57,65,7
11-12-13,20,30,32,42,71,15
11-15-13,25,44,49,54,63,8
11-19-13,14,15,29,49,63,2
11-22-13,17,23,35,36,44,8
11-26-13,27,44,59,74,75,3
11-29-13,9,41,43,47,57,5
12-3-13,7,12,41,44,59,3
12-6-13,11,29,44,63,64,3
12-10-13,5,12,22,41,65,13
12-13-13,19,24,26,27,70,12
12-17-13,8,14,17,20,39,7
12-20-13,3,4,31,49,57,6
12-24-13,23,34,53,58,73,2
12-27-13,4,15,35,48,49,11
12-31-13,8,12,34,52,58,8
1-3-14,22,24,25,40,70,5
1-7-14,13,34,56,62,64,6
1-10-14,8,28,36,37,57,8
1-14-14,4,23,26,62,69,13
1-17-14,1,10,26,31,51,11
1-21-14,8,23,33,45,52,4
1-24-14,22,45,46,47,65,10
1-28-14,7,16,28,53,60,2
1-31-14,3,9,13,47,52,8
2-4-14,25,44,49,60,73,9
2-7-14,11,21,23,35,64,10
2-11-14,43,64,67,71,73,4
2-14-14,20,28,35,71,72,7
2-18-14,23,29,31,37,70,14
2-21-14,23,29,32,45,46,15
2-25-14,12,18,25,35,66,15
2-28-14,3,31,50,58,59,6
3-4-14,10,29,31,35,45,10
3-7-14,11,13,51,57,69,1
3-11-14,9,14,56,57,69,10
3-14-14,7,20,40,54,69,12
3-18-14,11,19,24,33,51,7
3-21-14,2,23,30,35,53,10
3-25-14,19,26,51,57,73,15
3-28-14,2,3,9,50,73,12
4-1-14,10,23,68,74,75,9
4-4-14,1,10,15,41,54,9
4-8-14,35,36,41,60,71,3
4-11-14,3,42,44,47,57,8
4-15-14,4,39,46,47,70,13
4-18-14,18,25,38,45,63,9
4-22-14,2,18,19,49,50,1
4-25-14,3,11,18,20,66,9
4-29-14,7,43,59,61,66,3
5-2-14,1,18,26,35,40,13
5-6-14,18,20,27,48,51,5
5-9-14,10,28,39,51,59,14
5-13-14,37,46,48,70,74,1
5-16-14,13,14,16,50,56,11
5-20-14,10,40,63,64,69,7
5-23-14,12,14,21,38,70,15
5-27-14,1,6,10,46,58,13
5-30-14,10,13,42,43,62,2
6-3-14,19,28,62,66,74,6
6-6-14,12,29,37,49,72,9
6-10-14,2,10,24,26,74,7
6-13-14,7,38,46,49,56,1
6-17-14,10,14,24,47,60,3
6-20-14,1,22,25,29,56,3
6-24-14,13,17,24,47,65,10
6-27-14,15,29,31,46,64,10
7-1-14,9,22,38,47,49,15
7-4-14,16,33,39,58,69,2
7-8-14,14,25,27,48,49,9
7-11-14,9,13,30,35,69,10
7-15-14,2,4,17,36,40,5
7-18-14,5,8,59,65,72,3
7-22-14,14,18,22,31,47,15
7-25-14,22,29,33,41,68,12
7-29-14,2,8,16,43,74,1
8-1-14,13,29,34,37,72,6
8-5-14,25,28,36,45,53,6
8-8-14,9,16,61,70,75,7
8-12-14,32,53,60,63,68,6
8-15-14,16,19,28,29,68,9
8-19-14,22,39,56,67,71,15
8-22-14,5,31,34,41,74,3
8-26-14,29,31,51,60,64,1
8-29-14,3,26,45,58,73,12
9-2-14,1,8,54,69,72,1
9-5-14,7,12,20,24,59,7
9-9-14,25,34,55,70,71,1
9-12-14,18,28,33,36,42,7
9-16-14,25,45,51,53,73,2
9-19-14,16,25,27,29,34,2
9-23-14,21,24,25,40,43,12
9-26-14,17,26,35,46,62,9
9-30-14,3,16,52,54,61,6
10-3-14,3,20,34,58,67,6
10-7-14,16,29,46,48,55,2
10-10-14,2,32,35,50,59,3
10-14-14,11,37,46,64,68,15
10-17-14,21,31,43,56,60,12
10-21-14,5,35,37,41,66,11
10-24-14,2,14,21,28,55,3
10-28-14,3,50,57,58,60,11
10-31-14,11,29,36,58,67,15
11-4-14,9,15,24,39,41,1
11-7-14,31,35,41,65,66,5
11-11-14,23,25,28,30,75,11
11-14-14,3,49,61,62,68,15
11-18-14,37,39,53,68,75,6
11-21-14,3,12,35,37,63,15
11-25-14,10,11,29,47,56,4
11-28-14,8,26,29,36,47,10
12-2-14,13,18,22,49,62,11
12-5-14,4,5,11,51,59,5
12-9-14,27,45,49,51,52,14
12-12-14,2,31,46,58,65,7
12-16-14,41,58,68,72,73,1
12-19-14,14,18,58,59,68,4
12-23-14,4,10,31,56,66,7
12-26-14,2,5,10,20,38,14
12-30-14,3,7,44,63,67,12
1-2-15,13,15,35,62,74,12
1-6-15,12,20,27,38,75,4
1-9-15,37,49,50,56,57,8
1-13-15,12,20,25,50,51,7
1-16-15,26,32,44,45,58,11
1-20-15,31,35,56,59,63,6
1-23-15,14,15,32,68,72,8
1-27-15,5,26,27,44,57,7
1-30-15,18,31,39,45,55,6
2-3-15,11,22,25,58,69,13
2-6-15,5,6,17,33,68,13
2-10-15,7,42,53,58,71,15
2-13-15,4,20,44,65,74,14
2-17-15,6,45,50,65,66,1
2-20-15,2,6,8,52,66,13
2-24-15,15,23,26,45,66,4
2-27-15,7,49,53,60,64,4
3-3-15,9,11,42,44,50,3
3-6-15,30,48,55,68,73,5
3-10-15,10,14,19,30,73,14
3-13-15,8,22,30,42,45,3
3-17-15,11,27,44,45,58,3
3-20-15,7,50,54,61,75,7
3-24-15,2,23,32,45,55,12
3-27-15,17,21,36,58,70,3
3-31-15,8,26,41,61,73,11
4-3-15,10,36,47,63,74,2
4-7-15,5,15,22,26,64,6
4-10-15,6,11,32,46,68,9
4-14-15,3,7,25,68,71,3
4-17-15,15,18,29,41,50,5
4-21-15,31,33,35,41,69,11
4-24-15,24,25,29,47,67,4
4-28-15,22,27,55,58,63,11
5-1-15,17,18,61,66,74,3
5-5-15,11,21,42,62,71,7
5-8-15,9,21,25,66,72,7
5-12-15,14,30,33,36,44,2
5-15-15,11,17,21,36,74,15
5-19-15,10,12,21,29,65,10
5-22-15,3,14,15,25,48,8
5-26-15,1,39,52,69,72,12
5-29-15,20,27,38,49,66,2
6-2-15,2,9,11,22,23,12
6-5-15,7,22,27,41,49,10
6-9-15,6,16,17,25,36,7
6-12-15,1,40,42,56,62,2
6-16-15,8,19,26,56,67,14
6-19-15,4,35,36,52,68,8
6-23-15,6,13,38,56,70,2
6-26-15,12,23,33,47,50,3
6-30-15,11,17,34,43,50,15
7-3-15,33,50,64,71,72,9
7-7-15,6,15,16,28,49,14
7-10-15,24,27,45,51,54,8
7-14-15,19,24,30,35,72,5
7-17-15,6,17,30,31,41,15
7-21-15,20,30,62,65,74,1
7-24-15,10,12,26,60,62,13
7-28-15,8,35,61,68,75,15
7-31-15,28,32,33,40,46,10
8-4-15,2,19,44,51,57,14
8-7-15,1,38,53,63,66,10
8-11-15,3,8,29,57,68,8
8-14-15,12,15,20,52,71,3
8-18-15,2,7,33,39,53,9
8-21-15,13,15,21,41,72,1
8-25-15,5,44,54,59,63,1
8-28-15,13,35,40,60,68,9
9-1-15,2,5,35,40,54,13
